出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","4406","新昕纖","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120510","183939",""
"1120831","4413","飛寶企業","常會","1120524","1120326","1120524","","","","","0","0.00","0","0","","0","1120307","140603",""
"1120831","4416","三圓","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120317","174336",""
"1120831","4417","金洲","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120315","114452",""
"1120831","4419","元勝","臨時會","1120830","1120801","1120830","","","","","","","0","0","","0","1120728","175358",""
"1120831","4419","元勝","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120406","112919",""
"1120831","4420","光明","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120309","180339",""
"1120831","4430","耀億","常會","1120621","1120423","1120621","","","","","0","0.00","0","0","","0","1120411","170843",""
"1120831","4432","銘旺實","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120413","182656",""
"1120831","4433","興采","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120309","155544",""
"1120831","4502","健信","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120412","115159",""
"1120831","4503","金雨","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120519","174727",""
"1120831","4506","崇友","常會","1120619","1120421","1120619","","","","","0","0.00","0","0","","0","1120331","140928",""
"1120831","4510","高鋒","常會","1120614","1120416","1120614","","","","","0","0.00","0","0","","0","1120418","174744",""
"1120831","4513","福裕","常會","1120621","1120423","1120621","","","","","0","0.00","0","0","","0","1120503","112941",""
"1120831","4523","永彰","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120428","115827",""
"1120831","4527","方方土霖","常會","1120614","1120416","1120614","","","","","0","0.00","0","0","","0","1120323","112506",""
"1120831","4528","江興鍛","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120324","143739",""
"1120831","4529","淳紳","臨時會","1120818","1120720","1120818","","","","","","","0","0","","0","1120629","163552",""
"1120831","4529","淳紳","常會","1120512","1120314","1120512","","","","","0","0.00","0","0","","0","1120302","141120",""
"1120831","4530","宏易","常會","1120605","1120407","1120605","","","","","0","0.00","0","0","","0","1120418","174620",""
"1120831","4533","協易機","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120426","162043",""
"1120831","4534","慶騰","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120223","163656",""
"1120831","4535","至興","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120314","153744",""
"1120831","4538","大詠城","常會","1120511","1120313","1120511","","","","","0","0.00","0","0","","0","1120315","164446",""
